px,wue,photo,gs,day,mn,cd,A_E
3.308,130.755,2.4904,,1,0,0,
4.462,93.396,1.9295,,1,0.4,0,
5.538,100.189,3.1298,,1,0.8,0,
6.462,103.585,2.8942,,1,1.2,0,
7.538,105.283,4.0385,,1,1.6,0,
8.769,83.208,1.851,,1,0,0.2,
9.692,137.547,2.3894,,1,0.4,0.2,
10.923,108.679,2.6923,,1,0.8,0.2,
12,115.472,3.2644,,1,1.2,0.2,
13.077,115.472,2.0192,,1,1.6,0.2,
14.308,110.377,2.1875,,1,0,0.4,
15.231,93.396,2.2212,,1,0.4,0.4,
16.308,103.585,1.9856,,1,0.8,0.4,
17.538,100.189,2.5913,,1,1.2,0.4,
18.462,108.679,3.1635,,1,1.6,0.4,
19.692,90,1.6154,,1,0,0.6,
20.769,122.264,2.524,,1,0.4,0.6,
21.846,118.868,2.8269,,1,0.8,0.6,
22.923,120.566,2.2885,,1,1.2,0.6,
24,93.396,3.8029,,1,1.6,0.6,
25.077,112.075,1.6827,,1,0,0.8,
26.154,120.566,2.625,,1,0.4,0.8,
27.231,101.887,2.625,,1,0.8,0.8,
28.308,113.774,2.4231,,1,1.2,0.8,
29.462,83.208,2.8269,,1,1.6,0.8,
1.104,91.698,2.8857,,4,0,0,
2.371,86.604,3.7649,,4,0.4,0,
3.515,149.434,3.9565,,4,0.8,0,
4.578,95.943,4.058,,4,1.2,0,
5.722,100.189,4.4638,,4,1.6,0,
6.948,95.943,2.7391,,4,0,0.2,
8.093,85.755,3.8551,,4,0.4,0.2,
9.074,90,3.8889,,4,0.8,0.2,
10.3,90.849,2.6039,,4,1.2,0.2,
11.526,93.396,3.5507,,4,1.6,0.2,
12.589,90,3.1787,,4,0,0.4,
13.896,86.604,2.6039,,4,0.4,0.4,
14.959,82.358,1.7246,,4,0.8,0.4,
16.104,84.906,2.8744,,4,1.2,0.4,
17.248,90,2.1304,,4,1.6,0.4,
18.392,93.396,2.6377,,4,0,0.6,
19.537,82.358,2.4348,,4,0.4,0.6,
20.681,93.396,2.5024,,4,0.8,0.6,
21.826,78.962,2.7729,,4,1.2,0.6,
22.97,120.566,2.401,,4,1.6,0.6,
24.114,105.283,1.657,,4,0,0.8,
25.177,89.151,2.5362,,4,0.4,0.8,
26.403,84.906,2.9082,,4,0.8,0.8,
27.629,84.057,2.7729,,4,1.2,0.8,
28.815,84.906,1.8937,,4,1.6,0.8,
1.104,91.698,3.5845,,7,0,0,
2.371,86.604,3.4155,,7,0.4,0,
3.515,149.434,3.686,,7,0.8,0,
4.578,95.943,2.8406,,7,1.2,0,
5.722,100.189,3.1111,,7,1.6,0,
6.948,95.943,1.9952,,7,0,0.2,
8.093,85.755,2.2995,,7,0.4,0.2,
9.074,90,2.0628,,7,0.8,0.2,
10.3,90.849,1.9614,,7,1.2,0.2,
11.526,93.396,2.8068,,7,1.6,0.2,
12.589,90,1.9614,,7,0,0.4,
13.896,86.604,2.57,,7,0.4,0.4,
14.959,82.358,2.2657,,7,0.8,0.4,
16.104,84.906,3.1787,,7,1.2,0.4,
17.248,90,2.3333,,7,1.6,0.4,
18.392,93.396,1.7246,,7,0,0.6,
19.537,82.358,2.029,,7,0.4,0.6,
20.681,93.396,2.029,,7,0.8,0.6,
