px,val,day,mn,cd
3.308,130.755,1,0,0
4.462,93.396,1,0.4,0
5.538,100.189,1,0.8,0
6.462,103.585,1,1.2,0
7.538,105.283,1,1.6,0
8.769,83.208,1,0,0.2
9.692,137.547,1,0.4,0.2
10.923,108.679,1,0.8,0.2
12,115.472,1,1.2,0.2
13.077,115.472,1,1.6,0.2
14.308,110.377,1,0,0.4
15.231,93.396,1,0.4,0.4
16.308,103.585,1,0.8,0.4
17.538,100.189,1,1.2,0.4
18.462,108.679,1,1.6,0.4
19.692,90,1,0,0.6
20.769,122.264,1,0.4,0.6
21.846,118.868,1,0.8,0.6
22.923,120.566,1,1.2,0.6
24,93.396,1,1.6,0.6
25.077,112.075,1,0,0.8
26.154,120.566,1,0.4,0.8
27.231,101.887,1,0.8,0.8
28.308,113.774,1,1.2,0.8
29.462,83.208,1,1.6,0.8
1.104,91.698,4,0,0
2.371,86.604,4,0.4,0
3.515,149.434,4,0.8,0
4.578,95.943,4,1.2,0
5.722,100.189,4,1.6,0
6.948,95.943,4,0,0.2
8.093,85.755,4,0.4,0.2
9.074,90,4,0.8,0.2
10.3,90.849,4,1.2,0.2
11.526,93.396,4,1.6,0.2
12.589,90,4,0,0.4
13.896,86.604,4,0.4,0.4
14.959,82.358,4,0.8,0.4
16.104,84.906,4,1.2,0.4
17.248,90,4,1.6,0.4
18.392,93.396,4,0,0.6
19.537,82.358,4,0.4,0.6
20.681,93.396,4,0.8,0.6
21.826,78.962,4,1.2,0.6
22.97,120.566,4,1.6,0.6
24.114,105.283,4,0,0.8
25.177,89.151,4,0.4,0.8
26.403,84.906,4,0.8,0.8
27.629,84.057,4,1.2,0.8
28.815,84.906,4,1.6,0.8
1.104,91.698,7,0,0
2.371,86.604,7,0.4,0
3.515,149.434,7,0.8,0
4.578,95.943,7,1.2,0
5.722,100.189,7,1.6,0
6.948,95.943,7,0,0.2
8.093,85.755,7,0.4,0.2
9.074,90,7,0.8,0.2
10.3,90.849,7,1.2,0.2
11.526,93.396,7,1.6,0.2
12.589,90,7,0,0.4
13.896,86.604,7,0.4,0.4
14.959,82.358,7,0.8,0.4
16.104,84.906,7,1.2,0.4
17.248,90,7,1.6,0.4
18.392,93.396,7,0,0.6
19.537,82.358,7,0.4,0.6
20.681,93.396,7,0.8,0.6
21.826,78.962,7,1.2,0.6
22.97,120.566,7,1.6,0.6
24.114,105.283,7,0,0.8
25.177,89.151,7,0.4,0.8
26.403,84.906,7,0.8,0.8
27.629,84.057,7,1.2,0.8
28.815,84.906,7,1.6,0.8
1.195,72.676,14,0,0
2.473,66.761,14,0.4,0
3.544,80.282,14,0.8,0
4.78,76.056,14,1.2,0
5.934,105.634,14,1.6,0
7.088,119.155,14,0,0.2
8.242,86.197,14,0.4,0.2
9.396,86.197,14,0.8,0.2
10.549,99.718,14,1.2,0.2
11.621,109.014,14,1.6,0.2
12.857,73.521,14,0,0.4
14.011,127.606,14,0.4,0.4
15.165,91.268,14,0.8,0.4
16.319,118.31,14,1.2,0.4
17.473,87.887,14,1.6,0.4
18.626,109.014,14,0,0.6
19.78,97.183,14,0.4,0.6
20.934,106.479,14,0.8,0.6
22.088,70.986,14,1.2,0.6
23.242,139.437,14,1.6,0.6
24.396,99.718,14,0,0.8
25.549,117.465,14,0.4,0.8
26.703,116.62,14,0.8,0.8
27.857,106.479,14,1.2,0.8
29.052,115.775,14,1.6,0.8
