px,val,day,mn,cd
1.195,72.676,14,0,0
2.473,66.761,14,0.4,0
3.544,80.282,14,0.8,0
4.78,76.056,14,1.2,0
5.934,105.634,14,1.6,0
7.088,119.155,14,0,0.2
8.242,86.197,14,0.4,0.2
9.396,86.197,14,0.8,0.2
10.549,99.718,14,1.2,0.2
11.621,109.014,14,1.6,0.2
12.857,73.521,14,0,0.4
14.011,127.606,14,0.4,0.4
15.165,91.268,14,0.8,0.4
16.319,118.31,14,1.2,0.4
17.473,87.887,14,1.6,0.4
18.626,109.014,14,0,0.6
19.78,97.183,14,0.4,0.6
20.934,106.479,14,0.8,0.6
22.088,70.986,14,1.2,0.6
23.242,139.437,14,1.6,0.6
24.396,99.718,14,0,0.8
25.549,117.465,14,0.4,0.8
26.703,116.62,14,0.8,0.8
27.857,106.479,14,1.2,0.8
29.052,115.775,14,1.6,0.8
