px,val,day,mn,cd
6.7308,6.8357,21,0,0
8.4615,6.0469,21,0.4,0
10.1923,11.4366,21,0.8,0
11.7995,5.5211,21,1.2,0
13.6538,6.1127,21,1.6,0
15.3846,5.7183,21,0,0.2
17.1154,5.3897,21,0.4,0.2
18.8462,6.1784,21,0.8,0.2
20.5769,5.5869,21,1.2,0.2
22.3077,5.2582,21,1.6,0.2
24.0385,5.7183,21,0,0.4
25.7692,5.4554,21,0.4,0.4
27.5,6.0469,21,0.8,0.4
29.1071,5.2582,21,1.2,0.4
30.9615,5.3897,21,1.6,0.4
32.6923,5.5869,21,0,0.6
34.4231,4.9953,21,0.4,0.6
36.1538,5.6526,21,0.8,0.6
37.8846,4.8638,21,1.2,0.6
39.6154,6.507,21,1.6,0.6
41.3462,6.4413,21,0,0.8
43.2005,5.2582,21,0.4,0.8
44.9313,5.061,21,0.8,0.8
46.5385,5.784,21,1.2,0.8
48.3929,5.7183,21,1.6,0.8
