px,val,day,mn,cd
3.308,130.755,1,0,0
4.462,93.396,1,0.4,0
5.538,100.189,1,0.8,0
6.462,103.585,1,1.2,0
7.538,105.283,1,1.6,0
8.769,83.208,1,0,0.2
9.692,137.547,1,0.4,0.2
10.923,108.679,1,0.8,0.2
12,115.472,1,1.2,0.2
13.077,115.472,1,1.6,0.2
14.308,110.377,1,0,0.4
15.231,93.396,1,0.4,0.4
16.308,103.585,1,0.8,0.4
17.538,100.189,1,1.2,0.4
18.462,108.679,1,1.6,0.4
19.692,90,1,0,0.6
20.769,122.264,1,0.4,0.6
21.846,118.868,1,0.8,0.6
22.923,120.566,1,1.2,0.6
24,93.396,1,1.6,0.6
25.077,112.075,1,0,0.8
26.154,120.566,1,0.4,0.8
27.231,101.887,1,0.8,0.8
28.308,113.774,1,1.2,0.8
29.462,83.208,1,1.6,0.8
1.104,91.698,14,0,0
2.371,86.604,14,0.4,0
3.515,149.434,14,0.8,0
4.578,95.943,14,1.2,0
5.722,100.189,14,1.6,0
6.948,95.943,14,0,0.2
8.093,85.755,14,0.4,0.2
9.074,90,14,0.8,0.2
10.3,90.849,14,1.2,0.2
11.526,93.396,14,1.6,0.2
12.589,90,14,0,0.4
13.896,86.604,14,0.4,0.4
14.959,82.358,14,0.8,0.4
16.104,84.906,14,1.2,0.4
17.248,90,14,1.6,0.4
18.392,93.396,14,0,0.6
19.537,82.358,14,0.4,0.6
20.681,93.396,14,0.8,0.6
21.826,78.962,14,1.2,0.6
22.97,120.566,14,1.6,0.6
24.114,105.283,14,0,0.8
25.177,89.151,14,0.4,0.8
26.403,84.906,14,0.8,0.8
27.629,84.057,14,1.2,0.8
28.815,84.906,14,1.6,0.8
1.104,91.698,21,0,0
2.371,86.604,21,0.4,0
3.515,149.434,21,0.8,0
4.578,95.943,21,1.2,0
5.722,100.189,21,1.6,0
6.948,95.943,21,0,0.2
8.093,85.755,21,0.4,0.2
9.074,90,21,0.8,0.2
10.3,90.849,21,1.2,0.2
11.526,93.396,21,1.6,0.2
12.589,90,21,0,0.4
13.896,86.604,21,0.4,0.4
14.959,82.358,21,0.8,0.4
16.104,84.906,21,1.2,0.4
17.248,90,21,1.6,0.4
18.392,93.396,21,0,0.6
19.537,82.358,21,0.4,0.6
20.681,93.396,21,0.8,0.6
21.826,78.962,21,1.2,0.6
22.97,120.566,21,1.6,0.6
24.114,105.283,21,0,0.8
25.177,89.151,21,0.4,0.8
26.403,84.906,21,0.8,0.8
27.629,84.057,21,1.2,0.8
28.815,84.906,21,1.6,0.8
1.195,72.676,28,0,0
2.473,66.761,28,0.4,0
3.544,80.282,28,0.8,0
4.78,76.056,28,1.2,0
5.934,105.634,28,1.6,0
7.088,119.155,28,0,0.2
8.242,86.197,28,0.4,0.2
9.396,86.197,28,0.8,0.2
10.549,99.718,28,1.2,0.2
11.621,109.014,28,1.6,0.2
12.857,73.521,28,0,0.4
14.011,127.606,28,0.4,0.4
15.165,91.268,28,0.8,0.4
16.319,118.31,28,1.2,0.4
17.473,87.887,28,1.6,0.4
18.626,109.014,28,0,0.6
19.78,97.183,28,0.4,0.6
20.934,106.479,28,0.8,0.6
22.088,70.986,28,1.2,0.6
23.242,139.437,28,1.6,0.6
24.396,99.718,28,0,0.8
25.549,117.465,28,0.4,0.8
26.703,116.62,28,0.8,0.8
27.857,106.479,28,1.2,0.8
29.052,115.775,28,1.6,0.8
