px,photo,day,mn,cd
6.625,2.4904,1,0,0
8.375,1.9295,1,0.4,0
10.25,3.1298,1,0.8,0
11.875,2.8942,1,1.2,0
13.625,4.0385,1,1.6,0
15.375,1.851,1,0,0.2
17.125,2.3894,1,0.4,0.2
18.875,2.6923,1,0.8,0.2
20.625,3.2644,1,1.2,0.2
22.375,2.0192,1,1.6,0.2
24.125,2.1875,1,0,0.4
25.75,2.2212,1,0.4,0.4
27.5,1.9856,1,0.8,0.4
29.25,2.5913,1,1.2,0.4
30.875,3.1635,1,1.6,0.4
32.75,1.6154,1,0,0.6
34.5,2.524,1,0.4,0.6
36.25,2.8269,1,0.8,0.6
37.875,2.2885,1,1.2,0.6
39.625,3.8029,1,1.6,0.6
41.375,1.6827,1,0,0.8
43.125,2.625,1,0.4,0.8
44.75,2.625,1,0.8,0.8
46.625,2.4231,1,1.2,0.8
48.125,2.8269,1,1.6,0.8
