OPEN 6.3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri Dec  8 2023 13:26:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCF=,LCF-2246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCFCals=,-2.289999962,-0.219999999,-2864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-40 Fluorometer,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/LCF_Source-cacao.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,at seedlings test1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""13:27:33 Launched AutoProg /User/Configs/AutoProgs/A-CiCurve2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13:31:19,434.9999982,0,4.109789573,0.029860336,265.9523893,0.558559282,1.76318936,29.73345566,2,4.644859791,1,9.289719582,30.23413086,29.73345566,30.24643517,499.9950867,498.2397461,24.78915596,25.00700569,55.84134674,56.33208847,499.9697571,177.814682,177.0991516,97.27138519,-2.448218822,0.237446755,0.078550957,0.007755344,0.080421172,0.008818168,1,-1.355140209,7.355140209,1,0,0.159999996,111115,2.499848785,0.000558559,302.8834557,303.3841309,28.45034849,0.037454679,4.195655443,43.13350154,18.12649585,29.98379326,4.25648532,0.029764662,2.432466083,1.824019237,0.018611486,25.86955731,0.533783969,56.63295128,497.6425035,0.004677042
2,13:33:57,592.9999982,0,2.80872466,0.026069487,216.7209623,0.492570692,1.779737029,29.88352013,2,4.644859791,1,9.289719582,30.37581825,29.88352013,30.38654137,400.0482178,398.8460999,25.01863861,25.21070671,55.90275574,56.33192444,499.9816589,193.5723114,192.8791962,97.27181244,-1.240822911,0.233380571,0.072403267,0.014574748,0.044649567,0.014126608,1,-1.355140209,7.355140209,1,0,0.159999996,111115,2.499908295,0.000492571,303.0335201,303.5258183,30.97156913,0.057799688,4.232028163,43.50724076,18.29653405,30.12966919,4.292285169,0.025996534,2.452291135,1.839994034,0.016254372,21.0808408,0.543369892,56.5715293,398.4379306,0.00398792
3,13:36:39,754.9999982,0,1.913661238,0.034349157,202.2109564,0.648401718,1.779022838,30.0078125,2,4.644859791,1,9.289719582,30.52005577,30.0078125,30.53409195,300.0719299,299.2288513,25.27773285,25.53047371,56.01594162,56.5760231,499.9964905,204.0953064,202.5756226,97.26960754,-0.107238315,0.234643802,0.157232642,0.016530788,0.146558389,0.016227916,1,-1.355140209,7.355140209,1,0,0.159999996,111115,2.499982452,0.000648402,303.1578125,303.6700558,32.65524829,0.038969602,4.262361996,43.82008012,18.28960641,30.26393414,4.325467138,0.034222618,2.483339158,1.84212798,0.021400469,19.66898037,0.675773594,56.92206255,298.9507544,0.003643729
4,13:40:38,993.4999982,0,1.006283851,0.057327574,165.8178676,1.077180114,1.77423995,30.15791321,2,4.644859791,1,9.289719582,30.71198654,30.15791321,30.73243713,200.0614929,199.5729828,25.54222107,25.96191216,55.97766495,56.89745331,499.9936829,205.3473511,205.5964508,97.25812531,0.698312819,0.230643898,0.032521501,0.007827278,0.029617757,0.010634588,1,-1.355140209,7.355140209,1,0,0.159999996,111115,2.499968414,0.00107718,303.3079132,303.8619865,32.85557544,-0.030360084,4.299246855,44.20450057,18.24258841,30.43494987,4.368055139,0.056975971,2.525006906,1.843048233,0.035641405,16.12713494,0.830863303,57.49321313,199.4267477,0.00290104
5,13:43:49,1184.999998,0,-0.751979146,0.072394864,113.61053,1.362149312,1.779132041,30.24938202,2,4.644859791,1,9.289719582,30.83613205,30.24938202,30.85805893,99.87249756,100.1187439,25.61363983,26.14426613,55.73727417,56.89195633,499.9891357,210.3487396,209.9073181,97.25757599,1.286532998,0.228990793,0.022450313,0.004360899,0.030436449,0.004018479,1,-1.355140209,7.355140209,1,0,0.159999996,111115,2.499945679,0.001362149,303.399382,303.986132,33.65579759,-0.073664069,4.32185999,44.43725793,18.29299181,30.54275703,4.395089672,0.071835052,2.54272795,1.852361722,0.04494687,11.04948475,1.134757844,57.65816172,100.228023,-0.004325909
6,13:48:20,1455.499998,0,-1.599959665,0.09338323,76.11882891,1.814075217,1.840077859,30.55239296,2,4.644859791,1,9.289719582,31.09416199,30.55239296,31.10689545,49.85025787,50.45363235,25.58921432,26.29576492,54.8700943,56.38512421,499.9989319,337.0034485,338.7383118,97.25654602,1.443780303,0.232982397,0.037990443,0.005086157,0.032497078,0.002680659,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,2.499994659,0.001814075,303.702393,304.244162,53.92055055,-0.074377622,4.397513131,45.2156005,18.91983558,30.82327747,4.466119359,0.092453854,2.557435271,1.908684088,0.057866445,7.403054387,1.508688777,57.03665406,50.68614158,-0.018004201
7,13:52:51,1726.999998,0,4.481123526,0.083232721,299.7925074,1.693309958,1.924597849,30.77307892,2,4.644859791,1,9.289719582,31.19702339,30.77307892,31.22433281,400.1016846,398.0395813,25.34208107,26.00181007,54.02043152,55.42674255,499.9873657,646.2419434,358.9663391,97.25238037,-1.124133468,0.237756103,0.108762138,0.012949189,0.107267909,0.015227521,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,2.499936829,0.00169331,303.9230789,304.3470234,103.3987086,0.128996728,4.453335773,45.79153493,19.78972486,30.98505116,4.507534478,0.082493606,2.528737924,1.978796555,0.051624403,29.15553496,0.753172603,55.57195832,397.3883758,0.006266535
8,13:57:22,1997.499998,0,3.443219384,0.040426808,250.3407673,0.879512967,2.048011362,31.12124443,2,4.644859791,1,9.289719582,31.45767975,31.12124443,31.45045853,399.9748535,398.4573669,25.30976105,25.65254593,53.15491867,53.87482834,499.9935913,616.553833,333.269989,97.24759674,-1.096953034,0.250050873,0.091400988,0.00175809,0.062350556,0.001386067,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,2.499967957,0.000879513,304.2712444,304.6076797,98.64861108,0.243581009,4.542659803,46.71230915,21.05976323,31.28946209,4.586373362,0.040251642,2.494648442,2.09172492,0.025172955,24.34503799,0.628274912,53.42622356,397.9569916,0.004622565
