OPEN 6.3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri Dec  8 2023 15:37:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCF=,LCF-2246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCFCals=,-2.289999962,-0.219999999,-2864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-40 Fluorometer,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/LCF_Source-cacao-survey.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,420pm survey canopy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,stage,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
1,15:39:15,D,157.0000019,0,1.452955317,0.015509128,339.2418581,0.232604757,1.418397199,27.65471077,2,4.644859791,0,4.644859791,28.09687805,27.65471077,28.046772,500.286499,499.6588135,23.5625782,23.6534214,60.05482101,60.28635406,499.988678,116.0913773,65.77131653,97.26808167,-2.44670105,0.232134178,0.036968816,0.002433417,0.036849979,0.003711617,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,2.49994339,0.000232605,300.8047108,301.2468781,18.57461995,0.051553094,3.719120124,38.23577129,14.58234988,27.87579441,3.767448795,0.015457515,2.300722925,1.466725871,0.009665571,32.99740475,0.678947011,60.7751435,499.2365209,0.001768772
2,15:41:07,D,270.0000019,0,1.161824249,0.029637872,425.0691706,0.452417397,1.447469826,27.88571358,2,4.644859791,0,4.644859791,28.34638596,27.88571358,28.2927475,500.0403137,499.4851379,23.69705772,23.87372208,59.52707672,59.97085571,499.9497681,115.8068771,64.56043243,97.26845551,-2.470844984,0.236325487,0.120775104,0.003045833,0.088558212,0.002093239,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,2.49974884,0.000452417,301.0357136,301.496386,18.52909993,0.015278251,3.769629899,38.75490651,14.88118443,28.11604977,3.820588812,0.029449958,2.322160074,1.498428738,0.018423015,41.34582171,0.851014652,60.61184979,499.1474608,0.001410812
3,15:43:07,D,388.5000019,0,0.268023356,0.055919244,479.891508,0.841159954,1.434183181,27.9176693,2,4.644859791,0,4.644859791,28.50944901,27.9176693,28.50184631,499.8227234,499.5474243,23.75435829,24.08273125,59.10801697,59.92510986,499.9818115,116.6986389,57.35583496,97.26807404,-2.505003214,0.234148443,0.026490247,0.004379645,0.046456676,0.005486795,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,2.499909058,0.00084116,301.0676693,301.659449,18.67178181,-0.043649739,3.776664067,38.82737583,14.74464458,28.21355915,3.842341909,0.055254043,2.342480886,1.499861023,0.034592931,46.67812273,0.960652552,61.2582476,499.469525,0.000328722
4,15:45:11,D,512.5000019,0,1.705589052,0.037567544,414.9401726,0.573677387,1.450400081,27.90667915,2,4.644859791,0,4.644859791,28.53097153,27.90667915,28.56984329,500.1275635,499.3306885,23.66734123,23.89134598,58.81738281,59.37407303,499.9639282,116.3421936,58.30960464,97.26716614,-2.570416212,0.236593857,0.109855294,0.001207571,0.117659137,0.000797115,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,2.499819641,0.000573677,301.0566792,301.6809715,18.61475056,0.002589931,3.7742436,38.80285352,14.91150754,28.21882534,3.843519797,0.037266136,2.323843518,1.519676278,0.023318228,40.3600547,0.830992731,60.64578376,498.8349695,0.002073567
5,15:47:39,D,662.0000019,0,0.911037246,0.022636058,423.0069915,0.361861103,1.513112424,28.17276764,2,4.644859791,0,4.644859791,28.73602104,28.17276764,28.74953461,499.9551697,499.5184326,23.71110725,23.85240555,58.23073959,58.57774734,499.9775085,116.1259003,55.17190933,97.2696991,-2.566915751,0.243595541,0.098025449,0.002150015,0.08411593,0.00125778,1,-1.355140209,7.355140209,1,0,0.159999996,111115,2.499887543,0.000361861,301.3227676,301.886021,18.58014363,0.035396771,3.833228734,39.40825118,15.55584563,28.45439434,3.896532747,0.022526279,2.32011631,1.576416437,0.014088746,41.14576278,0.846829594,59.43476918,499.2536452,0.001084565
6,15:49:20,D,763.0000019,0,2.108914396,0.023255787,342.2117097,0.381855272,1.55396014,28.3949585,2,4.644859791,0,4.644859791,28.98016548,28.3949585,28.98229027,499.9447632,499.0249329,23.7949791,23.94407082,57.61869431,57.97971344,499.9769287,115.5142288,35.34021759,97.27407074,-2.703443766,0.243322879,0.086000308,0.003541919,0.057955969,0.002450365,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,2.499884644,0.000381855,301.5449585,302.1301655,18.4822762,0.032708556,3.883097378,39.91914134,15.97507052,28.68756199,3.949632224,0.02313993,2.329137238,1.620494986,0.014472821,33.28832606,0.685760745,58.86736228,498.4119898,0.002490835
7,15:51:37,D,898.5000019,0,0.934556068,0.02157415,417.5853952,0.364380049,1.5973345,28.63980293,2,4.644859791,0,4.644859791,29.22575378,28.63980293,29.20248604,500.0592346,499.6125793,23.92673492,24.06898308,57.12283325,57.46243668,499.9851074,115.5514374,25.40721512,97.27749634,-2.631075859,0.2495929,0.145626992,0.002288555,0.14132151,0.00146859,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,2.499925537,0.00036438,301.7898029,302.3757538,18.48822957,0.035764402,3.938704913,40.48937382,16.42039074,28.93277836,4.006155332,0.021474407,2.341370413,1.664784918,0.01343043,40.62166175,0.835818417,58.28619292,499.3409564,0.001090872
8,15:54:03,C,1046.000002,0,-0.357598521,0.015282512,523.9019506,0.257204016,1.589589464,28.62542725,2,4.644859791,0,4.644859791,29.3070507,28.62542725,29.34745789,500.0932922,500.1848755,24.01359558,24.11400032,57.06365204,57.30224609,499.9799805,116.8314514,39.81275558,97.28089142,-2.669517279,0.248703316,0.019654866,0.00133282,0.0417291,0.001208458,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,2.499899902,0.000257204,301.7754272,302.4570507,18.69303181,0.05891161,3.935420911,40.45420281,16.34020249,28.96623898,4.013922532,0.015232395,2.345831447,1.668091085,0.009524737,50.96564877,1.047416618,58.39750846,500.2888093,-0.000417416
9,15:56:30,C,1193.000002,0,0.236588984,0.024537769,471.1788467,0.411381568,1.586575237,28.63900375,2,4.644859791,0,4.644859791,29.32897949,28.63900375,29.38624573,499.9337158,499.7568359,24.01582527,24.17640686,56.99783325,57.37895203,499.977417,115.3153839,58.21655273,97.28273773,-2.635453463,0.245028898,0.11823146,0.003019238,0.16056928,0.001945124,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,2.499887085,0.000411382,301.7890038,302.4789795,18.45046101,0.032444531,3.938522285,40.48531504,16.30890818,28.98399162,4.018048776,0.024408823,2.351947048,1.666101728,0.015267047,45.83756817,0.942816211,58.58933253,499.6880728,0.000277405
